12, 0.25
12, 0.97
12, 1.08
12, 0.66
12, 1.54
12, 0.70
12, 0.58
12, 0.50
12, 1.41
12, 0.84
12, 0.86
12, 0.43
12, 0.61
12, 0.59
12, 0.77
12, 0.54
12, 2.31
12, 0.52
12, 1.72
12, 0.30
12, 0.72
12, 0.34
12, 0.31
12, 0.38
12, 0.46
12, 0.41
12, 0.31
12, 0.37
12, 0.93
12, 0.56
12, 0.36
12, 0.36
12, 0.53
13, 0.42
13, 0.40
13, 0.92
13, 0.40
13, 0.33
13, 0.36
13, 0.49
13, 0.75
13, 0.55
13, 0.43
13, 0.40
13, 1.67
13, 1.06
13, 0.44
13, 0.36
13, 0.29
13, 0.68
13, 0.46
13, 0.45
13, 0.65
13, 0.44
13, 0.44
13, 0.33
13, 0.33
13, 0.36
13, 0.52
13, 0.58
13, 0.53
13, 0.49
13, 0.48
13, 0.43
14, 0.47
14, 0.40
14, 0.46
14, 0.46
14, 0.36
14, 0.44
14, 0.54
14, 0.38
14, 0.60
14, 0.41
14, 0.43
14, 0.47
14, 0.33
14, 0.44
14, 0.39
14, 0.45
14, 0.34
14, 0.42
14, 0.35
14, 0.41
14, 0.49
14, 0.38
14, 0.37
14, 0.47
14, 0.42
14, 0.36
14, 0.38
14, 0.44
14, 0.35
14, 0.39
14, 0.53
14, 0.43
14, 0.43
14, 0.31
14, 0.46
14, 0.45
14, 0.42
14, 0.37
14, 0.54
14, 1.00
115, 0.41
117, 0.43
119, 0.34
121, 0.32
123, 0.43
125, 0.38
127, 0.51
129, 0.42
131, 0.39
133, 0.47
135, 0.50
138, 0.36
140, 0.38
142, 0.40
144, 0.40
146, 0.36
148, 0.54
150, 0.41
152, 0.40
154, 0.46
156, 0.49
158, 0.54
160, 0.38
162, 0.41
164, 0.38
166, 0.56
168, 0.41
170, 0.47
172, 0.37
174, 0.45
176, 0.57
178, 0.44
180, 0.50
182, 0.54
184, 0.42
186, 0.42
188, 0.50
190, 0.53
192, 0.57
194, 0.53
196, 0.60
198, 0.46
200, 0.49
202, 0.47
204, 0.54
206, 0.45
208, 0.64
210, 0.63
212, 0.94
214, 1.11
216, 1.00
219, 0.47
221, 0.39
223, 0.49
225, 0.78
227, 1.08
229, 0.66
231, 0.52
233, 0.64
235, 0.51
237, 0.38
239, 0.42
241, 0.34
243, 0.31
245, 0.41
247, 0.53
249, 0.36
251, 0.64
253, 0.70
255, 0.64
257, 0.69
259, 0.52
261, 0.46
263, 0.63
265, 0.77
267, 0.44
269, 0.51
271, 0.44
273, 0.99
275, 0.68
277, 0.54
279, 0.83
281, 0.39
283, 0.41
285, 0.52
287, 0.37
289, 0.40
291, 0.94
293, 0.44
295, 0.94
298, 0.34
300, 0.51
302, 0.41
304, 0.49
306, 0.43
308, 0.82
310, 0.55
312, 0.27
314, 0.38
316, 0.57
318, 0.29
320, 0.36
322, 0.46
324, 0.41
326, 0.38
328, 0.39
330, 0.45
332, 0.33
334, 0.35
336, 0.42
338, 0.43
340, 0.45
342, 0.47
344, 0.34
346, 0.26
348, 0.27
350, 0.29
352, 0.26
354, 0.32
356, 0.36
358, 0.29
360, 0.28
362, 0.31
364, 0.38
366, 0.32
368, 0.25
370, 0.30
372, 0.30
374, 0.34
376, 0.41
379, 0.35
381, 0.32
383, 0.27
385, 0.39
387, 0.30
389, 0.34
391, 0.29
393, 0.29
395, 0.50
397, 0.35
399, 0.40
401, 0.26
403, 0.34
405, 0.33
407, 0.30
409, 0.28
411, 0.29
413, 0.38
415, 0.36
417, 0.29
419, 0.30
421, 0.30
423, 0.28
425, 0.24
427, 0.36
429, 0.39
431, 0.33
433, 0.30
435, 0.53
437, 0.29
439, 0.57
441, 0.79
443, 0.32
445, 0.28
447, 0.37
449, 0.31
451, 0.57
453, 0.46
455, 0.32
457, 0.63
460, 0.53
462, 0.36
464, 0.44
466, 0.46
468, 0.42
470, 0.34
472, 0.30
474, 0.47
476, 0.34
478, 0.37
480, 0.33
482, 0.34
484, 0.46
486, 0.26
488, 0.35
490, 0.36
492, 0.28
